"time_period","location","disease_cases","population","mean_temperature","pdsi"
"2019-10","50001",NA,151897,28.4967374801636,-3.66659426689148
"2019-11","50001",NA,151897,29.7079010009766,-3.80670642852783
"2019-12","50001",NA,151897,27.9970111846924,-3.90375351905823
"2019-10","50002",NA,112404,28.5800790786743,-3.18223786354065
"2019-11","50002",NA,112404,29.5301446914673,-3.38475036621094
"2019-12","50002",NA,112404,27.5504102706909,-3.44692063331604
"2019-10","50003",NA,129113,28.7962036132812,-3.25673508644104
"2019-11","50003",NA,129113,28.747597694397,-3.6851692199707
"2019-12","50003",NA,129113,27.2990646362304,-3.85960268974304
"2019-10","50004",NA,1005705,27.4351749420166,-2.60154175758362
"2019-11","50004",NA,1005705,27.9574356079102,-2.78399848937988
"2019-12","50004",NA,1005705,26.0492725372315,-2.94740295410156
"2019-10","50005",NA,73535,28.1632099151611,-0.714877247810364
"2019-11","50005",NA,73535,27.4751567840576,-0.821371257305145
"2019-12","50005",NA,73535,26.4182929992675,-0.417243987321854
"2019-10","50006",NA,82032,28.8082876205444,-0.929410696029663
"2019-11","50006",NA,82032,28.0848379135132,-0.967675387859344
"2019-12","50006",NA,82032,27.2133073806763,-0.531933903694153
"2019-10","50007",NA,181248,27.8212728500366,-1.16665625572205
"2019-11","50007",NA,181248,27.8343992233276,-1.18814396858215
"2019-12","50007",NA,181248,26.5748338699341,-0.949389517307281
"2019-10","50008",NA,101350,26.2367553710938,-2.27341651916504
"2019-11","50008",NA,101350,26.8193092346191,-2.34350991249084
"2019-12","50008",NA,101350,25.4392414093018,-2.16492700576782
"2019-10","50009",NA,110518,27.4705371856689,-2.4155912399292
"2019-11","50009",NA,110518,29.0641965866089,-2.44482803344727
"2019-12","50009",NA,110518,26.8227272033691,-2.20860981941223
"2019-10","50010",NA,582736,25.8453245162964,-2.44385671615601
"2019-11","50010",NA,582736,27.2644529342652,-2.55975461006165
"2019-12","50010",NA,582736,24.9210138320923,-2.2204864025116
"2019-10","50011",NA,248448,25.3924379348755,-2.83845973014832
"2019-11","50011",NA,248448,26.8291244506836,-2.94546294212341
"2019-12","50011",NA,248448,25.158989906311,-2.73265337944031
