,time_period,population,location_name,rainfall,mean_temperature,mean_relative_humidity,parent,location
0,2010-10,100456,Attapeu,8.84549761459912,23.40169169713232,86.85201147993044,-,LA-AT
1,2010-11,100456,Attapeu,5.664621076744742,22.16545331263116,82.54486122922646,-,LA-AT
2,2010-12,100456,Attapeu,0.2157241123633495,22.36369047730258,69.02836215656478,-,LA-AT
0,2010-10,88893,Bokeo,5.002512689524982,23.19358227277732,82.87488206206969,-,LA-BK
1,2010-11,88893,Bokeo,0.194547320425429,20.950542569689077,72.99656057580356,-,LA-BK
2,2010-12,88893,Bokeo,1.4093358741181352,19.82015854321533,76.19203637143228,-,LA-BK
0,2010-10,304188,Bolikhamsai,9.781493874727174,21.395979370541493,83.31992194135815,-,LA-BL
1,2010-11,304188,Bolikhamsai,0.6209842579679301,19.863326504363936,71.69932454555159,-,LA-BL
2,2010-12,304188,Bolikhamsai,0.625560050058618,18.46516246933484,74.18636246721822,-,LA-BL
0,2010-10,586946,Champasak,8.788990485415084,24.22405852056508,86.38198177620598,-,LA-CH
1,2010-11,586946,Champasak,3.806657537062899,23.2403171631167,81.94904503888839,-,LA-CH
2,2010-12,586946,Champasak,0.204611953771109,23.582715086531856,69.51659152260218,-,LA-CH
0,2010-10,97424,Houaphan,4.971818796412773,18.96361525884604,83.08031859611985,-,LA-HO
1,2010-11,97424,Houaphan,0.5392610884727129,16.429147603806598,78.63415123879201,-,LA-HO
2,2010-12,97424,Houaphan,1.3791931648959888,15.158269918254096,83.06374842702908,-,LA-HO
0,2010-10,325633,Khammouane,12.882445037364024,21.88004451896769,83.76533376951066,-,LA-KH
1,2010-11,325633,Khammouane,0.998950679987061,20.73627891707402,73.60059332743025,-,LA-KH
2,2010-12,325633,Khammouane,0.4726915333631606,19.34154209652291,73.58177774969938,-,LA-KH
0,2010-10,118364,Luang Namtha,4.012167055175847,21.46720888297088,82.68916529017505,-,LA-LM
1,2010-11,118364,Luang Namtha,0.3885220293070812,19.12835561225207,73.60084137682783,-,LA-LM
2,2010-12,118364,Luang Namtha,1.1369045439807433,17.95755696309772,76.63345193234518,-,LA-LM
0,2010-10,231328,Luang Prabang,2.986857149799722,21.059721715197508,82.14266271224761,-,LA-LP
1,2010-11,231328,Luang Prabang,0.2808900748412454,18.849151593078727,73.78302258165,-,LA-LP
2,2010-12,231328,Luang Prabang,1.1512821363333516,17.73716413222438,77.73531753864899,-,LA-LP
0,2010-10,195084,Oudomxay,2.779036575974737,21.4884737162908,81.90982438980582,-,LA-OU
1,2010-11,195084,Oudomxay,0.3017926698850876,19.30985868984441,71.96309678517964,-,LA-OU
2,2010-12,195084,Oudomxay,1.1184332905395689,18.07845970436801,77.06408741734818,-,LA-OU
0,2010-10,40280,Phongsaly,3.1375895411737,20.70465764991147,82.35186524864099,-,LA-PH
1,2010-11,40280,Phongsaly,0.7760490796613078,17.787291385599275,77.00200754610997,-,LA-PH
2,2010-12,40280,Phongsaly,1.5686669946011291,16.353132657458975,81.43113915344328,-,LA-PH
0,2010-10,289512,Salavan,9.830725125439596,23.203423085465065,85.88989475810531,-,LA-SL
1,2010-11,289512,Salavan,4.220229828467216,21.55167593061188,81.1017619387559,-,LA-SL
2,2010-12,289512,Salavan,0.6283634151753746,21.502908723575512,72.57678091841576,-,LA-SL
0,2010-10,719887,Savannakhet,9.27845011942847,23.59964418986936,83.61920550019276,-,LA-SV
1,2010-11,719887,Savannakhet,2.024339766338773,22.242638234810578,75.73363782424035,-,LA-SV
2,2010-12,719887,Savannakhet,0.2911308362773976,21.47607628508449,71.80788433178101,-,LA-SV
0,2010-10,960194,Vientiane Capital,5.268658651827399,24.66322011022693,83.08238092676496,-,LA-VT
1,2010-11,960194,Vientiane Capital,0.0479509370430924,23.519100782157818,67.20860984594161,-,LA-VT
2,2010-12,960194,Vientiane Capital,0.439399916877895,22.25899909936988,68.05248703486231,-,LA-VT
0,2010-10,265717,Xaignabouli,4.989845315214331,22.47535558114541,84.38878857537324,-,LA-XA
1,2010-11,265717,Xaignabouli,0.1432728690234921,21.097733432666637,71.56568236770089,-,LA-XA
2,2010-12,265717,Xaignabouli,1.4803319464844091,19.882365580052326,76.61509216472984,-,LA-XA
0,2010-10,86599,Xekong,10.35517851238107,20.869507768567065,88.44624325410447,-,LA-XE
1,2010-11,86599,Xekong,9.01206108029449,19.02081312525613,87.52016218416348,-,LA-XE
2,2010-12,86599,Xekong,1.265601586324287,18.724035890040906,79.07001454405356,-,LA-XE
0,2010-10,148858,Xiangkhouang,5.15488862822304,18.84023121566941,84.28989984947772,-,LA-XI
1,2010-11,148858,Xiangkhouang,0.2916776891324055,16.780141541364127,76.20867416457516,-,LA-XI
2,2010-12,148858,Xiangkhouang,0.7967751634700135,16.022424186892465,78.87605372470817,-,LA-XI
0,2010-10,53171,Xaisomboun,5.485802547876333,21.07062371570549,84.9185617597915,-,LA-XN
1,2010-11,53171,Xaisomboun,0.3204915243636378,19.61953615965339,73.64409323557159,-,LA-XN
2,2010-12,53171,Xaisomboun,1.0292338882878205,18.66995144931702,76.86990374889066,-,LA-XN
