,time_period,population,location_name,rainfall,mean_temperature,mean_relative_humidity,parent,location
0,2010-09,100456,Attapeu,9.09922892043518,24.08378812918509,90.01775241797995,-,LA-AT
1,2010-10,100456,Attapeu,8.84549761459912,23.40169169713232,86.85201147993044,-,LA-AT
2,2010-11,100456,Attapeu,5.664621076744742,22.16545331263116,82.54486122922646,-,LA-AT
0,2010-09,88893,Bokeo,10.085984886617329,24.154075399895778,89.09314676136997,-,LA-BK
1,2010-10,88893,Bokeo,5.002512689524982,23.19358227277732,82.87488206206969,-,LA-BK
2,2010-11,88893,Bokeo,0.194547320425429,20.950542569689077,72.99656057580356,-,LA-BK
0,2010-09,304188,Bolikhamsai,8.999795363848198,23.85587400597292,89.6480308265643,-,LA-BL
1,2010-10,304188,Bolikhamsai,9.781493874727174,21.395979370541493,83.31992194135815,-,LA-BL
2,2010-11,304188,Bolikhamsai,0.6209842579679301,19.863326504363936,71.69932454555159,-,LA-BL
0,2010-09,586946,Champasak,10.069529225425056,25.124572448934423,89.75864474326335,-,LA-CH
1,2010-10,586946,Champasak,8.788990485415084,24.22405852056508,86.38198177620598,-,LA-CH
2,2010-11,586946,Champasak,3.806657537062899,23.2403171631167,81.94904503888839,-,LA-CH
0,2010-09,97424,Houaphan,6.213933129861245,22.151441570513967,88.39883130435676,-,LA-HO
1,2010-10,97424,Houaphan,4.971818796412773,18.96361525884604,83.08031859611985,-,LA-HO
2,2010-11,97424,Houaphan,0.5392610884727129,16.429147603806598,78.63415123879201,-,LA-HO
0,2010-09,325633,Khammouane,8.369757599218183,24.41784988469924,89.07928052638066,-,LA-KH
1,2010-10,325633,Khammouane,12.882445037364024,21.88004451896769,83.76533376951066,-,LA-KH
2,2010-11,325633,Khammouane,0.998950679987061,20.73627891707402,73.60059332743025,-,LA-KH
0,2010-09,118364,Luang Namtha,9.01984795357428,22.93683732582802,88.72907586175498,-,LA-LM
1,2010-10,118364,Luang Namtha,4.012167055175847,21.46720888297088,82.68916529017505,-,LA-LM
2,2010-11,118364,Luang Namtha,0.3885220293070812,19.12835561225207,73.60084137682783,-,LA-LM
0,2010-09,231328,Luang Prabang,7.203993285774475,22.99741512571788,89.22404070348077,-,LA-LP
1,2010-10,231328,Luang Prabang,2.986857149799722,21.059721715197508,82.14266271224761,-,LA-LP
2,2010-11,231328,Luang Prabang,0.2808900748412454,18.849151593078727,73.78302258165,-,LA-LP
0,2010-09,195084,Oudomxay,7.529656859672724,23.08226571429349,89.18167425940109,-,LA-OU
1,2010-10,195084,Oudomxay,2.779036575974737,21.4884737162908,81.90982438980582,-,LA-OU
2,2010-11,195084,Oudomxay,0.3017926698850876,19.30985868984441,71.96309678517964,-,LA-OU
0,2010-09,40280,Phongsaly,10.3018167135761,22.528353881640847,90.44035052522597,-,LA-PH
1,2010-10,40280,Phongsaly,3.1375895411737,20.70465764991147,82.35186524864099,-,LA-PH
2,2010-11,40280,Phongsaly,0.7760490796613078,17.787291385599275,77.00200754610997,-,LA-PH
0,2010-09,289512,Salavan,8.178015017901206,24.5788154862737,89.08233137149006,-,LA-SL
1,2010-10,289512,Salavan,9.830725125439596,23.203423085465065,85.88989475810531,-,LA-SL
2,2010-11,289512,Salavan,4.220229828467216,21.55167593061188,81.1017619387559,-,LA-SL
0,2010-09,719887,Savannakhet,7.448535973247885,25.412426806136605,88.42941654832616,-,LA-SV
1,2010-10,719887,Savannakhet,9.27845011942847,23.59964418986936,83.61920550019276,-,LA-SV
2,2010-11,719887,Savannakhet,2.024339766338773,22.242638234810578,75.73363782424035,-,LA-SV
0,2010-09,960194,Vientiane Capital,11.689997303571689,25.927111242946108,88.0029279530527,-,LA-VT
1,2010-10,960194,Vientiane Capital,5.268658651827399,24.66322011022693,83.08238092676496,-,LA-VT
2,2010-11,960194,Vientiane Capital,0.0479509370430924,23.519100782157818,67.20860984594161,-,LA-VT
0,2010-09,265717,Xaignabouli,8.912366889360534,23.681775982318012,89.09809917212945,-,LA-XA
1,2010-10,265717,Xaignabouli,4.989845315214331,22.47535558114541,84.38878857537324,-,LA-XA
2,2010-11,265717,Xaignabouli,0.1432728690234921,21.097733432666637,71.56568236770089,-,LA-XA
0,2010-09,86599,Xekong,8.596849863686895,22.19505684470709,88.89076119287047,-,LA-XE
1,2010-10,86599,Xekong,10.35517851238107,20.869507768567065,88.44624325410447,-,LA-XE
2,2010-11,86599,Xekong,9.01206108029449,19.02081312525613,87.52016218416348,-,LA-XE
0,2010-09,148858,Xiangkhouang,6.755113767118897,21.335844647612436,89.24781072832857,-,LA-XI
1,2010-10,148858,Xiangkhouang,5.15488862822304,18.84023121566941,84.28989984947772,-,LA-XI
2,2010-11,148858,Xiangkhouang,0.2916776891324055,16.780141541364127,76.20867416457516,-,LA-XI
0,2010-09,53171,Xaisomboun,9.940788889088576,22.2879881336898,90.85258767677594,-,LA-XN
1,2010-10,53171,Xaisomboun,5.485802547876333,21.07062371570549,84.9185617597915,-,LA-XN
2,2010-11,53171,Xaisomboun,0.3204915243636378,19.61953615965339,73.64409323557159,-,LA-XN
