statistic	route_A	route_B	cheaper_route	ratio_larger_over_smaller
reading	normalised	normalised		
n_log_rows	46	24	B lower	1.92
reached_evaluation_complete	1	1		
reached_route_abandoned	0	0		
n_resources_consulted	9	5	B lower	1.80
n_resources_used	8	4	B lower	2.00
n_resources_discarded	1	1	equal	1.00
n_commands_run	17	8	B lower	2.12
n_commands_failed	2	0	B lower	undefined (one route is zero)
n_decisions_logged	8	5	B lower	1.60
n_blockers_hit	3	0	B lower	undefined (one route is zero)
n_blockers_unresolved	1	0	B lower	undefined (one route is zero)
n_dead_ends	5	0	B lower	undefined (one route is zero)
n_resources_before_evaluation_complete	9	4	B lower	2.25
n_commands_before_evaluation_complete	13	6	B lower	2.17
elapsed_minutes_total	66.2	58.2	B lower	1.14
elapsed_minutes_to_evaluation_complete	52.5	29.7	B lower	1.77
n_distinct_timestamps	28	11		
max_rows_sharing_one_timestamp	3	5		
milestones_reached	first_doc_opened;model_obtained;model_registered_with_chap;evaluation_started;evaluation_complete;evaluation_complete	first_doc_opened;model_obtained;model_runs_standalone;model_registered_with_chap;evaluation_started;evaluation_complete		
