,time_period,population,location_name,rainfall,mean_temperature,mean_relative_humidity,parent,location
0,2010-04,100456,Attapeu,3.347749779023008,26.609887500508563,69.81933022026294,-,LA-AT
1,2010-05,100456,Attapeu,9.013391012355385,25.14788790221428,82.88435701308846,-,LA-AT
2,2010-06,100456,Attapeu,9.855491564533004,24.38719041270493,88.30455834736578,-,LA-AT
0,2010-04,88893,Bokeo,4.330355197630868,25.835086275067383,67.82440149691786,-,LA-BK
1,2010-05,88893,Bokeo,10.255059756564568,24.687041632634322,81.99574362280892,-,LA-BK
2,2010-06,88893,Bokeo,11.013451810116672,24.547990336227173,87.0606822205636,-,LA-BK
0,2010-04,304188,Bolikhamsai,3.6144463777162885,24.351295399057012,78.73208670565884,-,LA-BL
1,2010-05,304188,Bolikhamsai,9.16241730799928,24.02978516054583,85.59210137415069,-,LA-BL
2,2010-06,304188,Bolikhamsai,10.50324877480167,24.260245801258932,88.61672516928475,-,LA-BL
0,2010-04,586946,Champasak,3.798293819745769,27.689112111704915,70.3181409236428,-,LA-CH
1,2010-05,586946,Champasak,8.898761872197898,26.234719668665075,82.34339742245847,-,LA-CH
2,2010-06,586946,Champasak,9.901327700500865,25.540074680451216,87.39886656171662,-,LA-CH
0,2010-04,97424,Houaphan,3.6375782937916656,21.695066185189205,79.04358142396592,-,LA-HO
1,2010-05,97424,Houaphan,7.2638507063043924,22.110631887357744,84.20312309307155,-,LA-HO
2,2010-06,97424,Houaphan,6.865873620611118,23.067425849237324,85.74949476961156,-,LA-HO
0,2010-04,325633,Khammouane,3.101118842087492,25.225626642023478,75.77146612388525,-,LA-KH
1,2010-05,325633,Khammouane,8.43473122876233,24.766749575554723,83.9568054024473,-,LA-KH
2,2010-06,325633,Khammouane,9.709705765742516,24.878659840259157,87.46843646363851,-,LA-KH
0,2010-04,118364,Luang Namtha,4.132670151145781,23.873392499407334,69.5804660706669,-,LA-LM
1,2010-05,118364,Luang Namtha,8.359236685748375,23.20551670500829,81.60632817975404,-,LA-LM
2,2010-06,118364,Luang Namtha,8.283198131603333,23.374752001818536,86.30371346600212,-,LA-LM
0,2010-04,231328,Luang Prabang,3.4534684207340165,23.671514361103203,74.21638823811669,-,LA-LP
1,2010-05,231328,Luang Prabang,6.8863622764810355,23.395888287071767,82.10518309201251,-,LA-LP
2,2010-06,231328,Luang Prabang,7.487397327607894,23.642647584375585,85.60562339125659,-,LA-LP
0,2010-04,195084,Oudomxay,3.8112797731355945,24.057344743575573,71.4859828343946,-,LA-OU
1,2010-05,195084,Oudomxay,8.037319240022091,23.440321233697155,81.97055480425132,-,LA-OU
2,2010-06,195084,Oudomxay,7.818407603165023,23.659257215106045,85.31931014801128,-,LA-OU
0,2010-04,40280,Phongsaly,5.390194408853468,22.356694709511846,76.38772200959949,-,LA-PH
1,2010-05,40280,Phongsaly,9.62366302756353,22.50121114738428,83.75677200922001,-,LA-PH
2,2010-06,40280,Phongsaly,11.094964044843291,23.040528514585294,87.90885743305425,-,LA-PH
0,2010-04,289512,Salavan,3.6989984739724546,26.379892807046357,73.19378587707227,-,LA-SL
1,2010-05,289512,Salavan,7.893115490867782,25.571216353314554,82.0302322830951,-,LA-SL
2,2010-06,289512,Salavan,7.267243746659908,25.321982252262835,84.45748948776718,-,LA-SL
0,2010-04,719887,Savannakhet,2.764586352291824,27.013350221407553,71.7819080982937,-,LA-SV
1,2010-05,719887,Savannakhet,7.423449429942865,26.254374475609104,81.01622438369144,-,LA-SV
2,2010-06,719887,Savannakhet,7.786805995923585,26.118702295559775,84.33054779536398,-,LA-SV
0,2010-04,960194,Vientiane Capital,3.372916284155746,27.98924888875614,68.5307878803564,-,LA-VT
1,2010-05,960194,Vientiane Capital,10.777736677423075,26.55934445228224,81.28246031492581,-,LA-VT
2,2010-06,960194,Vientiane Capital,11.918955554395243,26.41148552495931,86.10503932474877,-,LA-VT
0,2010-04,265717,Xaignabouli,4.679593046314077,25.266608504814872,72.50005521352745,-,LA-XA
1,2010-05,265717,Xaignabouli,9.756897291445224,24.165625403889795,84.2205781930169,-,LA-XA
2,2010-06,265717,Xaignabouli,9.078255563063143,24.181055048081664,86.33324061258945,-,LA-XA
0,2010-04,86599,Xekong,5.316641902217942,23.17727945885253,78.6647802679407,-,LA-XE
1,2010-05,86599,Xekong,9.405533298227692,22.81003243708629,85.14542450259786,-,LA-XE
2,2010-06,86599,Xekong,7.091527351048644,22.762940107933936,86.06667212744341,-,LA-XE
0,2010-04,148858,Xiangkhouang,3.9633277985359543,21.328390971858187,80.29445286965625,-,LA-XI
1,2010-05,148858,Xiangkhouang,7.412528153887337,21.46149337348786,85.54638122377744,-,LA-XI
2,2010-06,148858,Xiangkhouang,7.381924896368556,22.025222458978103,87.30468654022727,-,LA-XI
0,2010-04,53171,Xaisomboun,5.098651862841197,23.152815172036313,80.41419067728309,-,LA-XN
1,2010-05,53171,Xaisomboun,10.91353823744629,22.61498817307362,87.65122858079121,-,LA-XN
2,2010-06,53171,Xaisomboun,12.602450320915198,22.631927829937577,90.7094590744118,-,LA-XN
