time_period,rainfall,mean_temperature,disease_cases,location
2021-01,5,25,58,loc1
2021-02,3,26,25,loc1
2021-03,8,28,72,loc1
2021-04,15,30,95,loc1
2021-05,20,31,168,loc1
2021-06,25,30,175,loc1
2021-07,30,29,245,loc1
2021-08,28,29,185,loc1
2021-09,22,30,175,loc1
2021-10,15,30,125,loc1
2021-11,8,28,58,loc1
2021-12,4,26,45,loc1
2022-01,6,25,48,loc1
2022-02,4,26,40,loc1
2022-03,9,28,80,loc1
2022-04,14,30,92,loc1
2022-05,22,31,180,loc1
2022-06,26,30,178,loc1
2022-07,32,29,255,loc1
2022-08,27,29,190,loc1
2022-09,21,30,170,loc1
2022-10,16,30,100,loc1
2022-11,9,28,62,loc1
2022-12,5,26,52,loc1
2023-01,7,25,52,loc1
2023-02,4,26,42,loc1
2023-03,10,28,82,loc1
2023-04,13,30,88,loc1
2023-05,10,30,200,loc1
2023-06,2,30,100,loc1
