,time_period,population,location_name,rainfall,mean_temperature,mean_relative_humidity,parent,location
0,2010-05,100456,Attapeu,6.415432081729444,26.60611064383113,80.38975279895791,-,LA-AT
1,2010-06,100456,Attapeu,7.827840339436569,25.277643531653315,87.7194189230671,-,LA-AT
2,2010-07,100456,Attapeu,10.59966135469202,24.638334910028977,88.04962328131224,-,LA-AT
0,2010-05,88893,Bokeo,3.300270166864105,27.89748243367509,68.47274954970841,-,LA-BK
1,2010-06,88893,Bokeo,8.115903621389535,26.5408036687751,76.92650620519969,-,LA-BK
2,2010-07,88893,Bokeo,17.340293562140044,25.04630942975436,85.89183223340356,-,LA-BK
0,2010-05,304188,Bolikhamsai,7.240726067782631,25.80016450776193,84.32267775139408,-,LA-BL
1,2010-06,304188,Bolikhamsai,7.645603591993627,25.22606604623525,86.12974488564069,-,LA-BL
2,2010-07,304188,Bolikhamsai,13.938532923743628,24.66909444055714,87.5684024353582,-,LA-BL
0,2010-05,586946,Champasak,6.25988722727624,27.874116324043843,78.5684215128544,-,LA-CH
1,2010-06,586946,Champasak,7.990994990178613,26.420095335907813,86.80900150773981,-,LA-CH
2,2010-07,586946,Champasak,10.051842282710195,25.77115016782105,87.31018375179782,-,LA-CH
0,2010-05,97424,Houaphan,6.140351391031799,24.17216035942882,82.603271936184,-,LA-HO
1,2010-06,97424,Houaphan,4.355977069315005,24.071474317547978,82.08038290811479,-,LA-HO
2,2010-07,97424,Houaphan,7.709599680170605,23.718604433505813,83.94683434811513,-,LA-HO
0,2010-05,325633,Khammouane,7.486268125078666,26.498776429458243,82.47398418183629,-,LA-KH
1,2010-06,325633,Khammouane,8.135938871348053,25.705514444174376,86.49082020427414,-,LA-KH
2,2010-07,325633,Khammouane,12.275680524309074,25.264772879831213,86.82435468680373,-,LA-KH
0,2010-05,118364,Luang Namtha,3.2580946143688494,26.04076595364223,71.24574582873936,-,LA-LM
1,2010-06,118364,Luang Namtha,7.345472972910116,24.84381369449515,79.39077262039862,-,LA-LM
2,2010-07,118364,Luang Namtha,11.653242798432093,23.788734333762285,85.45996945444985,-,LA-LM
0,2010-05,231328,Luang Prabang,3.8943685139364255,25.50517299544594,77.58345788539555,-,LA-LP
1,2010-06,231328,Luang Prabang,4.72084422847947,25.030860262370048,80.00564557733685,-,LA-LP
2,2010-07,231328,Luang Prabang,9.131786705776896,24.208566463009664,83.90543373010885,-,LA-LP
0,2010-05,195084,Oudomxay,3.507853521156862,26.15966009543733,72.89804159884265,-,LA-OU
1,2010-06,195084,Oudomxay,5.715040683742994,25.258720807423337,77.91284576448695,-,LA-OU
2,2010-07,195084,Oudomxay,10.807174341123012,24.20656333291984,83.51462773344142,-,LA-OU
0,2010-05,40280,Phongsaly,7.160770147291174,24.82925843327252,78.72974680253601,-,LA-PH
1,2010-06,40280,Phongsaly,9.488315114306912,23.908320643177635,85.29842490692819,-,LA-PH
2,2010-07,40280,Phongsaly,13.576634745973822,23.5504066842851,87.28586861227755,-,LA-PH
0,2010-05,289512,Salavan,5.276193698485394,27.11487282088608,79.65178148063903,-,LA-SL
1,2010-06,289512,Salavan,5.895884853135178,26.36206371036945,82.74200662491121,-,LA-SL
2,2010-07,289512,Salavan,7.859350639988558,25.642900458862584,83.96595116591446,-,LA-SL
0,2010-05,719887,Savannakhet,5.962455462384812,27.920583125115822,79.08409992464601,-,LA-SV
1,2010-06,719887,Savannakhet,7.115797576466556,26.99556447807982,83.65090121291874,-,LA-SV
2,2010-07,719887,Savannakhet,7.583576710304768,26.520724426382905,83.13503173456758,-,LA-SV
0,2010-05,960194,Vientiane Capital,7.790876944690681,28.58078158684826,78.0118293284612,-,LA-VT
1,2010-06,960194,Vientiane Capital,10.152310603704416,27.4900248974402,82.95150097620702,-,LA-VT
2,2010-07,960194,Vientiane Capital,13.78154307076364,26.65875342396413,87.02268765924423,-,LA-VT
0,2010-05,265717,Xaignabouli,5.794152872048052,26.638500740012063,76.21833342867171,-,LA-XA
1,2010-06,265717,Xaignabouli,7.28182242362257,25.717483012650007,80.16590373521277,-,LA-XA
2,2010-07,265717,Xaignabouli,11.0782517796449,24.60899080229832,85.81091887058321,-,LA-XA
0,2010-05,86599,Xekong,6.692528099085878,24.061985600058115,84.10328847237616,-,LA-XE
1,2010-06,86599,Xekong,6.081232519438987,23.74577681841544,84.77753182618794,-,LA-XE
2,2010-07,86599,Xekong,8.637681346193993,22.974736612440267,86.20113462068248,-,LA-XE
0,2010-05,148858,Xiangkhouang,6.439042269735443,23.06515882495789,85.38665764259167,-,LA-XI
1,2010-06,148858,Xiangkhouang,5.033442811881489,22.94699757637957,84.81894769970708,-,LA-XI
2,2010-07,148858,Xiangkhouang,7.377206078196895,22.46239074607432,86.19919518940566,-,LA-XI
0,2010-05,53171,Xaisomboun,11.256447059002207,24.17197831902853,86.67774749909799,-,LA-XN
1,2010-06,53171,Xaisomboun,10.822962494286347,23.61110114272724,88.36561807651574,-,LA-XN
2,2010-07,53171,Xaisomboun,14.686004043189026,22.9545740344872,90.33658418915115,-,LA-XN
