statistic	route-a	route-b
reached_evaluation	yes	yes
n_steps	27	22
n_resources	5	4
n_resources_used	5	4
n_resources_discarded	0	0
n_commands	11	9
n_commands_failed	1	1
n_decisions	3	1
n_decisions_taken	3	1
n_decisions_discarded	0	0
n_blockers_hit	2	1
n_blockers_unresolved	1	0
n_dead_ends	3	2
n_resources_before_evaluation	5	4
n_commands_before_evaluation	11	9
elapsed_minutes_total	13.0	4.8
elapsed_minutes_to_evaluation	13.0	4.8
milestones_reached	first_doc_opened+model_obtained+model_registered_with_chap+evaluation_started+evaluation_complete	first_doc_opened+model_obtained+model_runs_standalone+model_registered_with_chap+evaluation_started+evaluation_complete
n_distinct_timestamps	15	11
max_rows_sharing_one_timestamp	4	3
