dataset	location	time_period	horizon_distance	q_10	q_25	q_50	q_75	q_90	split_period	data_type	disease_cases
data-0837007e360667f77ea4ff4ae89c0a8d	LA-AT	2010-04-01	1.0	0.0	0.0	5.0	21.0	46.200000000000045	2010-03-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-AT	2010-05-01	1.0	0.0	1.0	12.0	51.0	142.10000000000002	2010-04-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-AT	2010-05-01	2.0	0.0	1.0	12.0	46.0	109.10000000000002	2010-03-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-AT	2010-06-01	1.0	0.0	2.0	16.0	66.0	146.10000000000002	2010-05-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-AT	2010-06-01	2.0	0.0	2.0	19.0	71.0	183.0	2010-04-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-AT	2010-06-01	3.0	0.0	2.0	14.0	54.0	142.0	2010-03-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-AT	2010-07-01	1.0	0.0	2.0	13.0	55.0	134.0	2010-06-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-AT	2010-07-01	2.0	0.0	2.0	17.0	68.0	158.0	2010-05-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-AT	2010-07-01	3.0	0.0	1.0	12.0	53.0	154.10000000000002	2010-04-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-AT	2010-08-01	1.0	0.0	1.0	13.0	49.25	123.20000000000005	2010-07-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-AT	2010-08-01	2.0	0.0	1.0	11.0	39.0	96.0	2010-06-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-AT	2010-08-01	3.0	0.0	1.0	11.0	45.0	101.0	2010-05-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-AT	2010-09-01	1.0	0.0	1.0	10.0	38.25	86.0	2010-08-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-AT	2010-09-01	2.0	0.0	1.0	8.0	35.0	83.0	2010-07-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-AT	2010-09-01	3.0	0.0	1.0	7.0	31.25	78.0	2010-06-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-AT	2010-10-01	1.0	0.0	1.0	9.0	34.0	95.0	2010-09-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-AT	2010-10-01	2.0	0.0	1.0	7.0	29.0	64.10000000000002	2010-08-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-AT	2010-10-01	3.0	0.0	1.0	6.0	26.0	64.0	2010-07-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-AT	2010-11-01	2.0	0.0	0.0	5.0	21.0	50.0	2010-09-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-AT	2010-11-01	3.0	0.0	0.0	3.0	14.0	39.10000000000002	2010-08-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-AT	2010-12-01	3.0	0.0	0.0	5.0	17.25	48.0	2010-09-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-BK	2010-04-01	1.0	0.0	0.0	1.0	5.0	11.0	2010-03-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-BK	2010-05-01	1.0	0.0	0.0	5.0	20.0	54.10000000000002	2010-04-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-BK	2010-05-01	2.0	0.0	0.0	4.0	15.0	37.0	2010-03-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-BK	2010-06-01	1.0	0.0	1.0	10.0	42.25	95.0	2010-05-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-BK	2010-06-01	2.0	0.0	1.0	11.0	40.0	101.10000000000002	2010-04-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-BK	2010-06-01	3.0	0.0	1.0	7.0	28.0	65.0	2010-03-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-BK	2010-07-01	1.0	0.0	1.0	12.0	50.25	118.20000000000005	2010-06-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-BK	2010-07-01	2.0	0.0	2.0	13.0	48.0	124.10000000000002	2010-05-01	forecast	
