persona	prereq	state
engineer	cli-basics	hold
engineer	cli-help-reading	hold
engineer	git-basics	hold
engineer	github-navigation	hold
engineer	shell-text-tools	hold
engineer	shell-path-env	hold
engineer	python-venv-uv	hold
engineer	python-packaging	hold
engineer	reading-library-source	hold
engineer	docker-basics	hold
engineer	docker-compose	hold
engineer	container-registry	hold
engineer	container-registry-auth	partial
engineer	cpu-architecture	partial
engineer	http-curl	hold
engineer	rest-service-model	hold
engineer	json-basics	hold
engineer	geojson-basics	partial
engineer	cwd-awareness	hold
statistician	cli-basics	hold
statistician	cli-help-reading	partial
statistician	git-basics	hold
statistician	github-navigation	partial
statistician	shell-text-tools	hold
statistician	shell-path-env	lack
statistician	python-venv-uv	partial
statistician	python-packaging	lack
statistician	reading-library-source	lack
statistician	docker-basics	lack
statistician	docker-compose	lack
statistician	container-registry	lack
statistician	container-registry-auth	lack
statistician	cpu-architecture	lack
statistician	http-curl	lack
statistician	rest-service-model	lack
statistician	json-basics	hold
statistician	geojson-basics	hold
statistician	cwd-awareness	partial
